"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Antigua and Barbuda"
"7","Argentina"
"8","Armenia"
"9","Australia"
"10","Austria"
"11","Azerbaijan"
"12","Bahrain"
"13","Bangladesh"
"14","Barbados"
"15","Belarus"
"16","Belgium"
"17","Benin"
"18","Bhutan"
"19","Bolivia"
"20","Bosnia and Herzegovina"
"21","Brazil"
"22","Brunei"
"23","Bulgaria"
"24","Burkina Faso"
"25","Cambodia"
"26","Cameroon"
"27","Canada"
"28","Cape Verde"
"29","Central African Republic"
"30","Chad"
"31","Chile"
"32","China"
"33","Colombia"
"34","Congo"
"35","Costa Rica"
"36","Croatia"
"37","Cuba"
"38","Cyprus"
"39","Czechia"
"40","Denmark"
"41","Djibouti"
"42","Dominica"
"43","Dominican Republic"
"44","East Timor"
"45","Ecuador"
"46","Egypt"
"47","El Salvador"
"48","Equatorial Guinea"
"49","Eritrea"
"50","Estonia"
"51","Eswatini"
"52","Ethiopia"
"53","Fiji"
"54","Finland"
"55","France"
"56","Gabon"
"57","Georgia"
"58","Germany"
"59","Ghana"
"60","Greece"
"61","Grenada"
"62","Guatemala"
"63","Guinea"
"64","Guyana"
"65","Haiti"
"66","Honduras"
"67","Hungary"
"68","Iceland"
"69","India"
"70","Indonesia"
"71","Iran"
"72","Iraq"
"73","Ireland"
"74","Israel"
"75","Italy"
"76","Jamaica"
"77","Japan"
"78","Jordan"
"79","Kazakhstan"
"80","Kenya"
"81","Kosovo"
"82","Kuwait"
"83","Kyrgyzstan"
"84","Latvia"
"85","Lebanon"
"86","Liberia"
"87","Liechtenstein"
"88","Lithuania"
"89","Luxembourg"
"90","Madagascar"
"91","Malaysia"
"92","Maldives"
"93","Malta"
"94","Mauritania"
"95","Mauritius"
"96","Mexico"
"97","Moldova"
"98","Monaco"
"99","Mongolia"
"100","Montenegro"
"101","Morocco"
"102","Mozambique"
"103","Namibia"
"104","Nepal"
"105","Netherlands"
"106","New Zealand"
"107","Nicaragua"
"108","Niger"
"109","Nigeria"
"110","North Macedonia"
"111","Norway"
"112","Oman"
"113","Pakistan"
"114","Panama"
"115","Papua New Guinea"
"116","Paraguay"
"117","Peru"
"118","Philippines"
"119","Poland"
"120","Portugal"
"121","Qatar"
"122","Romania"
"123","Russia"
"124","Rwanda"
"125","Saint Lucia"
"126","Saint Vincent and the Grenadines"
"127","San Marino"
"128","Saudi Arabia"
"129","Senegal"
"130","Serbia"
"131","Seychelles"
"132","Singapore"
"133","Slovakia"
"134","Slovenia"
"135","Somalia"
"136","South Africa"
"137","South Korea"
"138","Spain"
"139","Sri Lanka"
"140","Sudan"
"141","Suriname"
"142","Sweden"
"143","Switzerland"
"144","Syria"
"145","Taiwan"
"146","Tanzania"
"147","Thailand"
"148","Togo"
"149","Trinidad and Tobago"
"150","Tunisia"
"151","Turkey"
"152","Uganda"
"153","UK"
"154","Ukraine"
"155","United Arab Emirates"
"156","Uruguay"
"157","US"
"158","Uzbekistan"
"159","Venezuela"
"160","Vietnam"
"161","Zambia"
"162","Zimbabwe"
